Region,Country Name,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Asia-Pacific,Afghanistan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,20.0000,7.5000,0.0000,38.9000,78.7000,-5.0000,1.0000,2390.0000,11.7000,5.6000,13.0000,7.8000
Europe,Albania,50.0000,30.0000,66.6000,55.5000,49.8000,35.6000,89.1000,72.1000,70.6000,70.7000,51.1000,82.0000,82.6000,70.0000,70.0000,3.7000,23.0000,15.0000,18.3000,30.5000,2.8000,40.7000,-3.5000,2.0000,14218.0000,11.7000,1.6000,1107.0000,76.0000
Middle East and North Africa,Algeria,167.0000,13.0000,45.8000,27.9000,29.7000,30.1000,67.2000,57.1000,38.6000,50.0000,51.5000,80.1000,57.4000,30.0000,30.0000,13.8000,35.0000,26.0000,37.2000,37.8000,43.9000,491.5000,-6.0000,0.1000,11112.0000,12.8000,2.4000,1125.0000,53.1000
Sub-Saharan Africa,Angola,139.0000,29.0000,52.6000,39.8000,25.3000,20.6000,86.6000,86.4000,80.0000,37.6000,53.9000,61.2000,70.0000,30.0000,40.0000,7.5000,25.0000,25.0000,9.4000,21.3000,32.9000,215.1000,-4.0000,-1.9000,6932.0000,7.7000,22.3000,-1866.0000,127.1000
Americas,Argentina,144.0000,27.0000,50.1000,35.1000,57.9000,45.1000,73.3000,53.0000,16.8000,55.1000,51.0000,37.9000,60.6000,55.0000,60.0000,12.2000,35.0000,25.0000,28.6000,39.6000,45.4000,941.8000,-10.0000,-2.8000,20751.0000,11.7000,42.0000,4123.0000,103.0000
Europe,Armenia,58.0000,34.0000,65.3000,50.4000,33.1000,50.8000,86.9000,78.9000,75.5000,64.9000,47.2000,77.5000,73.6000,75.0000,70.0000,5.7000,22.0000,18.0000,22.5000,26.5000,3.0000,39.4000,-7.6000,2.6000,13261.0000,20.2000,1.2000,117.0000,62.8000
Asia-Pacific,Australia,12.0000,4.0000,77.7000,91.7000,95.2000,87.0000,62.5000,51.6000,52.0000,84.6000,64.2000,83.2000,90.0000,80.0000,90.0000,2.5000,45.0000,30.0000,28.7000,40.2000,25.7000,1329.9000,-2.4000,1.5000,51680.0000,6.6000,0.9000,20146.0000,63.1000
Europe,Austria,22.0000,15.0000,73.8000,98.4000,94.6000,82.9000,45.5000,20.3000,71.7000,82.3000,78.4000,82.3000,79.2000,80.0000,70.0000,2.9000,55.0000,25.0000,42.4000,51.6000,8.9000,491.5000,-6.6000,0.4000,55218.0000,5.8000,1.4000,-17340.0000,85.2000
Europe,Azerbaijan,75.0000,37.0000,61.6000,53.6000,15.9000,28.6000,87.7000,62.7000,99.1000,64.6000,55.9000,74.5000,66.6000,70.0000,60.0000,9.2000,25.0000,20.0000,14.3000,35.3000,10.1000,145.8000,-4.3000,-0.7000,14431.0000,6.3000,2.8000,507.0000,21.4000
Americas,Bahamas,38.0000,6.0000,68.7000,61.1000,78.8000,64.3000,96.5000,85.8000,67.3000,63.3000,69.3000,79.2000,49.0000,50.0000,60.0000,18.0000,0.0000,0.0000,18.7000,21.7000,0.4000,12.8000,-16.3000,-1.5000,33148.0000,14.4000,0.0000,897.0000,68.6000
Middle East and North Africa,Bahrain,74.0000,4.0000,62.0000,65.9000,27.4000,41.6000,99.9000,65.5000,0.0000,60.2000,54.9000,81.1000,83.0000,85.0000,80.0000,6.0000,0.0000,0.0000,3.0000,33.9000,1.7000,73.8000,-5.4000,1.2000,48766.0000,4.1000,-2.3000,1007.0000,132.9000
Asia-Pacific,Bangladesh,137.0000,29.0000,52.7000,36.3000,28.1000,22.2000,82.6000,93.2000,54.0000,55.6000,36.6000,70.0000,63.8000,50.0000,40.0000,10.6000,25.0000,32.5000,7.7000,15.0000,164.7000,874.0000,3.8000,6.8000,5307.0000,5.3000,5.6000,2564.0000,38.9000
Americas,Barbados,28.0000,4.0000,71.3000,72.6000,88.2000,68.7000,80.6000,70.8000,79.7000,64.7000,63.4000,78.6000,58.4000,70.0000,60.0000,13.3000,28.5000,5.5000,33.1000,31.2000,0.3000,3.9000,-17.6000,-3.1000,13553.0000,12.8000,2.9000,262.0000,149.0000
Europe,Belarus,135.0000,45.0000,53.0000,34.5000,15.5000,43.7000,93.3000,56.7000,95.3000,54.5000,46.8000,70.2000,75.6000,30.0000,20.0000,4.7000,13.0000,18.0000,13.3000,38.0000,9.4000,189.9000,-0.9000,0.7000,20187.0000,5.3000,5.5000,1397.0000,48.0000
Europe,Belgium,37.0000,24.0000,69.6000,92.5000,91.2000,83.6000,48.2000,10.1000,50.3000,82.8000,57.4000,84.3000,79.2000,85.0000,70.0000,2.9000,50.0000,29.0000,42.9000,54.8000,11.6000,588.8000,-6.4000,0.0000,51096.0000,6.0000,0.4000,8437.0000,115.0000
Americas,Belize,109.0000,22.0000,56.6000,34.7000,70.2000,38.1000,77.0000,64.1000,37.6000,54.0000,59.9000,82.5000,55.6000,55.0000,50.0000,17.2000,25.0000,25.0000,32.4000,34.6000,0.4000,2.5000,-14.1000,-1.5000,6046.0000,7.8000,0.1000,76.0000,127.4000
Sub-Saharan Africa,Benin,81.0000,6.0000,61.0000,44.3000,55.3000,40.3000,68.4000,91.6000,83.4000,47.7000,59.6000,80.4000,61.4000,50.0000,50.0000,11.8000,45.0000,30.0000,15.4000,16.7000,12.1000,41.7000,2.0000,4.9000,3437.0000,2.5000,3.0000,176.0000,45.4000
